title,type,genre,themes,mood,description,imdb_rating,my_rating,year
Frankenstein,movie,"horror, drama","creation, obsession, isolation","melancholic, dark","A brilliant but hubristic scientist brings a monstrous creature to life, leading to a tragic exploration of what it means to be human.",7.4,7.6,2025
Don't Breathe,movie,"horror, thriller","home invasion, survival, blindness",claustrophobic,"Three thieves break into the house of a blind man thinking it’s an easy score, only to realize they are trapped with a killer.",7.1,7.1,2016
Red Notice,movie,"comedy, action","art heist, rivalry, globe-trotting","fun, slick",An FBI profiler is forced to partner with the world's greatest art thief to catch an even more elusive criminal across the globe.,6.3,6.8,2021
Superbad,movie,comedy,"friendship, coming-of-age, party","hilarious, raunchy",Two co-dependent high school seniors are forced to deal with separation anxiety while trying to buy alcohol for a massive house party.,7.6,7.6,2007
The Dictator,movie,comedy,"politics, satire, culture-shock","offensive, funny",A North African dictator risks his life to ensure that democracy never comes to the country he so lovingly oppresses while stuck in America.,6.4,7.5,2012
Ride Along,movie,"comedy, action","brotherhood, law enforcement",lighthearted,A fast-talking security guard must join his girlfriend's tough police officer brother on a 24-hour patrol of Atlanta to prove his worth.,6.1,6.5,2014
Ocean's Twelve,movie,"action, crime","revenge, heist, competition","stylish, breezy",Danny Ocean and his crew are forced to pull off a series of elaborate heists in Europe to pay back a vengeful casino owner.,6.5,7,2004
Scott Pilgrim vs. the World,movie,"comedy, action","love, retro-gaming, music","vibrant, hyper",A slacker musician must defeat his new girlfriend's seven evil exes in order to win her heart in a video-game inspired reality.,7.5,7.5,2010
Ted,movie,comedy,"friendship, maturity, magic",irreverent,"A man’s childhood wish brings his teddy bear to life, but now he must choose between the bear and moving forward with his girlfriend.",6.9,7,2012
10 Things I Hate About You,movie,rom-com,"high school, rebellion, poetry","charming, witty","A high school boy tries to win over a popular girl by hiring a ""bad boy"" to date her ill-tempered, older sister first.",7.3,7.5,1999
Mean Girls,movie,comedy,"popularity, sabotage, high school","satirical, iconic",A teenager who grew up in Africa must navigate the complex and cutthroat social hierarchies of a typical American high school.,7.1,7.2,2004
The Thing,movie,"horror, sci-fi","paranoia, isolation, survival",tense,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,8,1982
Beauty and the Beast,movie,"fantasy, romance","inner-beauty, curses, magic",magical,"A young woman is taken prisoner by a beast in his castle, eventually discovering the kind heart of the prince within.",7.1,7.2,2017
Fantastic Beasts: The Crimes of Grindelwald,movie,"fantasy, adventure","war, legacy, pure-blood",dark,Newt Scamander is recruited by Dumbledore to stop the powerful dark wizard Grindelwald from raising pure-blood wizards to rule.,6.5,6.8,2018
Evil Dead,movie,horror,"possession, survival, gore",brutal,"Five friends head to a remote cabin where they discover a Book of the Dead, unwittingly summoning flesh-possessing demons.",6.5,6.5,2013
The Nun,movie,"horror, mystery","faith, origin-story, demons",atmospheric,A priest and a novice are sent by the Vatican to investigate the mysterious suicide of a nun in a cloistered abbey in Romania.,5.3,6,2018
The Nun II,movie,"horror, mystery","sacrifice, evil, miracles",scary,"Sister Irene once again comes face-to-face with Valak, the demon nun, at a boarding school in 1950s France.",5.6,6.2,2023
Smile,movie,"horror, thriller","trauma, perception, curse",unsettling,"After witnessing a bizarre, traumatic incident involving a patient, a doctor is haunted by terrifying and unexplainable occurrences.",6.5,6.5,2022
Us,movie,"horror, thriller","duality, society, shadows",disturbing,A family's serene beach vacation turns into chaos when their doppelgängers appear and begin to terrorize them.,6.8,7,2019
Hereditary,movie,"horror, drama","family trauma, occult, grief",disturbing,"After the family matriarch passes away, a grieving family is haunted by tragic occurrences as they uncover dark secrets.",7.3,7,2018
Wrong Turn,movie,"horror, thriller","survival, cannibalism, traps",visceral,"Six people find themselves trapped in the woods of West Virginia, hunted by a trio of cannibalistic mountain men.",6.1,6.2,2003
Ocean's Thirteen,movie,"action, crime","loyalty, revenge, casino",stylish,Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven.,6.9,7,2007
Ted 2,movie,comedy,"civil rights, friendship, marriage",irreverent,"Newlywed couple Ted and Tami-Lynn want to have a baby, but Ted must prove he's a person in a court of law.",6.3,6.5,2015
Knocked Up,movie,"comedy, romance","maturity, pregnancy, timing",hilarious,A slacker and a recently promoted media personality must navigate an unintended pregnancy after a drunken one-night stand.,6.9,7.2,2007
Accepted,movie,comedy,"education, rebellion, creativity",lighthearted,"After being rejected by every college he applied to, a high school senior creates his own fake university to fool his parents.",6.4,6.8,2006
Dumb and Dumber,movie,comedy,"friendship, road-trip, idiocy",silly,Two dim-witted friends travel across the country to Aspen to return a briefcase full of money to its rightful owner.,7.3,7.3,1994
Wedding Crashers,movie,"comedy, romance","love, deception, brotherhood",raunchy,Two divorce mediators who spend their free time crashing weddings to meet women find themselves in over their heads.,7,7,2005
Ride Along 2,movie,"comedy, action","family, law-enforcement, Miami",fun,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer.",5.9,6,2016
Top Gun,movie,"action, drama","rivalry, flying, bravery",nostalgic,"As students at the United States Navy's elite fighter weapons school, two pilots compete to be best in the class.",6.9,7.2,1986
Clueless,movie,"comedy, romance","high school, makeover, satire",charming,"A rich high school student tries to boost a new pupil's popularity, but soon realizes she has a lot to learn herself.",6.9,7.1,1995
Excess Baggage,movie,"comedy, crime","attention, kidnapping, heiress",quirky,"A neglected heiress stages her own kidnapping to get her father's attention, only to be actually kidnapped by a car thief.",5.4,6.8,1997
40-Year-Old Virgin,movie,"comedy, romance","masculinity, friendship, sex",awkward,"Three coworkers help a middle-aged man who has never had sex finally lose his virginity, leading to hilarious complications.",7.1,7.3,2005
The Notebook,movie,"romance, drama","enduring love, class, memory",heartbreaking,An elderly man reads to a woman with dementia the story of two young lovers whose passion was tested by war and class differences.,7.8,8.8,2004
When Harry Met Sally,movie,rom-com,"friendship, timing, soulmates","witty, cozy",Two friends navigate a decade of chance encounters and growing attraction while debating whether men and women can truly just be friends.,7.7,8.2,1989
Serendipity,movie,rom-com,"fate, chance, destiny",magical,"After a brief, magical meeting, two people leave their future to fate, hoping that if they are meant to be together, they will find their way back.",6.8,8.5,2001
Blue Valentine,movie,"romance, drama","marriage decay, honesty, grief","raw, somber",A raw portrait of a relationship that juxtaposes the hopeful beginnings of a romance with the painful dissolution of the same marriage years later.,7.3,7.3,2010
Meet Joe Black,movie,"romance, fantasy","death, legacy, sacrifice","ethereal, grand",Death takes human form to learn about life on Earth and falls in love with the daughter of a media mogul who is nearing his end.,7.2,7.2,1998
Before Sunrise,movie,"romance, drama","connection, youth, philosophy",cerebral,"Two strangers meet on a train and decide to spend one night walking through Vienna, knowing they may never see each other again.",8.1,8.2,1995
Before Sunset,movie,"romance, drama","regret, second chances, time",nostalgic,"Nine years after their night in Vienna, Jesse and Celine reunite in Paris for an afternoon of intense conversation before Jesse's flight leaves.",8.1,8.2,2004
Before Midnight,movie,"romance, drama","commitment, parenting, reality","honest, tense","Now a couple with children, Jesse and Celine face the complexities of long-term love and the sacrifices required to keep a relationship alive.",7.9,8.1,2013
Lost in Translation,movie,"drama, romance","loneliness, connection, culture",melancholic,An aging actor and a young woman develop an unlikely bond in a Tokyo hotel while grappling with their own failing marriages and isolation.,7.7,7.5,2003
50 First Dates,movie,rom-com,"memory loss, persistence, loyalty",lighthearted,A man falls for a woman with short-term memory loss and must find creative ways to win her over every single day.,6.8,7,2004
Jerry Maguire,movie,"romance, drama","integrity, ambition, loyalty",inspiring,"A successful sports agent suffers a crisis of conscience and loses his job, starting over with only one client and a single loyal coworker.",7.3,7.5,1996
Notting Hill,movie,rom-com,"fame, attraction, normalcy",charming,The life of a simple bookstore owner changes forever when the most famous movie star in the world walks into his shop and falls for him.,7.2,7.5,1999
Sleepless in Seattle,movie,rom-com,"fate, grief, radio","cozy, nostalgic","A recently widowed man's son calls a national radio talk show in hopes of finding his father a new partner, sparking a cross-country romance.",6.8,7.2,1993
Cast Away,movie,"drama, adventure","survival, isolation, hope",visceral,"After his plane crashes in the Pacific, a FedEx executive is stranded on a deserted island for four years, fighting to stay alive and return home.",7.8,8.2,2000
You've Got Mail,movie,rom-com,"anonymity, rivalry, technology","warm, sweet",Two business rivals loathe each other in real life but unknowingly fall in love over the internet through an anonymous email exchange.,6.7,7,1998
Pretty Woman,movie,"romance, comedy","class, transformation, business",stylish,"A wealthy businessman hires a prostitute to be his escort for several social functions, only to fall in love with her spirit and intelligence.",7.1,7.1,1990
Love Actually,movie,rom-com,"holidays, connection, variety",uplifting,"The lives of eight very different couples in London intertwine during the frantic month before Christmas, exploring the many facets of love.",7.6,7.6,2003
Pride & Prejudice,movie,"romance, drama","class, misunderstanding, family",elegant,"In 19th century England, five sisters navigate pressure to marry, while the spirited Elizabeth Bennet faces a complex attraction to the stoic Mr. Darcy.",7.8,8,2005
Sweet November,movie,"romance, drama","living-in-the-moment, sacrifice",emotional,A workaholic businessman enters a month-long relationship with a terminally ill woman who teaches him how to truly live before it's too late.,6.7,7.1,2001
Titanic,movie,"romance, drama","disaster, class, sacrifice","epic, tragic","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,8.5,1997
The Girl Next Door,movie,rom-com,"ambition, secrets, coming-of-age","fun, edgy","A high school senior's life is turned upside down when he falls for his beautiful new neighbor, only to discover she is a former adult film star.",6.7,7.5,2004
Good Will Hunting,movie,drama,"genius, trauma, healing",powerful,"A brilliant but troubled janitor at MIT is forced to see a therapist to avoid jail, eventually confronting his past to embrace his future.",8.3,8.5,1997
Nightcrawler,movie,thriller,"obsession, ethics, journalism",cynical,"A driven con man muscles into the world of L.A. crime journalism, blurring the line between observer and participant to get the perfect shot.",7.8,7.8,2014
The Guilty,movie,thriller,"isolation, redemption, duty",tense,A demoted police officer assigned to a call dispatch desk is conflicted when he receives a terrified phone call from a kidnapped woman.,6.3,6.5,2021
Source Code,movie,sci-fi,"time loops, identity, heroism",exhilarating,A soldier wakes up in someone else's body and discovers he's part of an experimental program to find a train bomber in eight minutes.,7.5,7.8,2011
Looper,movie,sci-fi,"time travel, destiny, survival",smart,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun waits to finish the job.",7.4,7.6,2012
The Machinist,movie,thriller,"guilt, insomnia, reality",haunting,An industrial worker who hasn't slept in a year begins to doubt his own sanity as he is haunted by a mysterious coworker.,7.6,7.6,2004
Spotlight,movie,drama,"journalism, truth, justice",meticulous,The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese.,8.1,8.1,2015
Primal Fear,movie,thriller,"manipulation, law, duality",shocking,"An arrogant defense attorney takes on the case of a stuttering altar boy accused of murdering an Archbishop, uncovering a dark mystery.",7.7,8.1,1996
The Usual Suspects,movie,"crime, mystery","deception, storytelling, heist",mind-bending,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, centered on the mysterious Keyser Söze.",8.5,8.5,1995
The Sixth Sense,movie,thriller,"spirits, trauma, secrets",chilling,"A child psychologist starts treating a young boy who claims he can see and talk to dead people, leading to a world-shaking revelation.",8.2,8.2,1999
Collateral,movie,"action, thriller","nihilism, fate, hitman","cool, tense",A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night.,7.5,7.5,2004
Vanilla Sky,movie,"thriller, sci-fi","reality, love, consequence",surreal,A self-indulgent publishing magnate finds his life taking a dark turn after a car accident leaves his face disfigured.,6.9,7,2001
Fear,movie,thriller,"obsession, family-peril, sociopathy",intense,A wealthy family's life is threatened when their teenage daughter begins dating a mysterious young man who turns out to be a violent sociopath.,6.3,6.3,1996
Road House,movie,action,"vigilantism, protection, brawling",high-energy,"An ex-UFC fighter takes a job as a bouncer at a rough Florida Keys roadhouse, only to discover that paradise is not what it seems.",6.2,6.9,2024
Jarhead,movie,"drama, war","boredom, isolation, masculinity",raw,"A psychological study of a U.S. Marine sniper during the Gulf War, focusing on the mental strain of waiting for combat that never comes.",7,7,2005
The Revenant,movie,"adventure, drama","survival, revenge, nature",visceral,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by his team.,8,8,2015
Dunkirk,movie,"action, history","survival, war, heroism",immersive,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in WWII.",7.8,8,2017
Mud,movie,drama,"coming-of-age, love, fugitive",atmospheric,Two young boys encounter a fugitive hiding out on an island in the Mississippi and form a pact to help him reunite with his love.,7.4,7.5,2012
Taxi Driver,movie,"drama, crime","alienation, vigilantism, psychosis",gritty,"A mentally unstable veteran works as a nighttime taxi driver in NYC, where the perceived decadence fuels his urge for violent action.",8.2,8.2,1976
Inglourious Basterds,movie,"action, war","revenge, alternate-history, cinema",stylish,"In Nazi-occupied France during WWII, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theater owner's vengeful plans.",8.4,8.2,2009
Only the Brave,movie,drama,"brotherhood, sacrifice, wildfire",inspiring,"Based on the true story of the Granite Mountain Hotshots, a unit of local firefighters who become one of the most elite firefighting teams.",7.6,8,2017
The Equalizer 2,movie,"action, thriller","justice, mentor, vengeance",brutal,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when it is someone he loves?",6.7,6.7,2018
Wanted,movie,"action, thriller","fate, brotherhood, transformation",hyper-stylized,A frustrated office worker discovers that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.,6.7,6.7,2008
Kingsman: The Secret Service,movie,"action, comedy","class, espionage, mentorship","slick, fun",A spy organization recruits a promising street kid into the agency's training program just as a global threat emerges from a twisted tech genius.,7.7,7.7,2014
Kingsman: The Golden Circle,movie,"action, comedy","alliance, drug-war, tradition",chaotic,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US.",6.7,7,2017
The King's Man,movie,"action, history","origins, duty, war",grand,"In the early years of the 20th century, one man must race against time to stop a collection of history's worst tyrants from wiping out millions.",6.3,6.5,2021
John Wick: Chapter 3 – Parabellum,movie,"action, thriller","survival, underworld, rules",relentless,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hitmen everywhere.",7.4,7.4,2019
John Wick: Chapter 4,movie,"action, thriller","freedom, duel, consequences",cinematic,"John Wick uncovers a path to defeating The High Table, but before he can earn his freedom, he must face a new enemy with powerful alliances.",7.7,8,2023
Casino Royale,movie,"action, thriller","origin, betrayal, cold-war",gritty,"After receiving a license to kill, James Bond must defeat a private banker funding terrorists in a high-stakes poker game at Casino Royale.",8,8.2,2006
Baby Driver,movie,"action, thriller","music, getaway, freedom",vibrant,"A talented, young getaway driver relies on the beat of his personal soundtrack to be the best in the game, until a heist goes wrong.",7.6,7.6,2017
Gladiator,movie,"action, drama","honor, revenge, rome",epic,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,8.5,2000
Ghosted,movie,"action, comedy","espionage, romance",high-energy,A salt-of-the-earth man falls for a secret agent and gets swept into an international mission to save the world.,5.8,7.5,2023
Deep Water,movie,thriller,"obsession, marriage, jealousy",unsettling,A well-to-do husband who allows his wife to have affairs to avoid divorce becomes a prime suspect in her lovers' disappearances.,5.5,7.2,2022
Knock Knock,movie,"horror, thriller","temptation, home-invasion",claustrophobic,A devoted father's life is turned upside down when two stranded young women appear at his door and launch a deadly game.,4.9,6,2015
Knives Out,movie,"mystery, comedy","inheritance, family-secrets","witty, smart","A detective investigates the death of a patriarch of an eccentric, combative family where everyone is a potential suspect.",7.9,8,2019
No Time to Die,movie,"action, thriller","legacy, sacrifice, biological-warfare","epic, somber","James Bond is recruited to rescue a kidnapped scientist, leading him onto the trail of a mysterious villain armed with dangerous technology.",7.3,7.6,2021
Eden,movie,"thriller, drama","survival, isolation, hedonism","raw, intense",European settlers in the Galápagos face escalating violence and madness when a manipulative Baroness arrives to disrupt their island solitude.,7,7,2024
War Dogs,movie,"comedy, crime","arms-dealing, greed, war","cynical, fun",Two friends exploit a little-known government initiative to win a $300 million contract to arm the Afghan Military.,7.1,7.1,2016
The Night Clerk,movie,"crime, mystery","surveillance, autism, voyeurism","muted, tense",A voyeuristic hotel clerk who uses surveillance to learn social skills becomes the main suspect in a guest's murder.,5.6,6,2020
Constantine,movie,"fantasy, horror","occult, hell, redemption","gothic, cool",A cynical exorcist and demonologist helps a policewoman prove that her sister's death was not a suicide but a supernatural conspiracy.,7,7.2,2005
The Matrix Reloaded,movie,"sci-fi, action","prophecy, rebellion, choice",philosophical,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 sentinels discover Zion and destroy mankind.",7.2,7.5,2003
The Matrix Revolutions,movie,"sci-fi, action","sacrifice, peace, machine-war",epic,The human city of Zion defends itself against a massive invasion of machines as Neo fights to end the war on two fronts.,6.7,7,2003
The Matrix Resurrections,movie,"sci-fi, action","memory, simulation, love","meta, nostalgic",Return to a world of two realities where Thomas Anderson must choose to follow the white rabbit once more into the Matrix.,5.7,6.5,2021
Mad Max,movie,"action, sci-fi","vengeance, post-apocalypse","gritty, raw","In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang after they murder his family.",6.8,7.5,1979
Furiosa: A Mad Max Saga,movie,"action, sci-fi","survival, origins, tyranny","visceral, epic",The origin story of renegade warrior Furiosa before her encounter and team-up with Mad Max in a post-apocalyptic wasteland.,7.6,7.8,2024
Extraction,movie,"action, thriller","protection, mercenary, rescue",relentless,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent to Bangladesh to rescue a drug lord's kidnapped son.,6.8,7.2,2020
Extraction 2,movie,"action, thriller","family, redemption, combat",high-octane,"After barely surviving his previous mission, Tyler Rake is tasked with rescuing the battered family of a ruthless Georgian gangster from prison.",7,7.4,2023
500 Days of Summer,movie,"rom-com, drama","timing, expectations, heartbreak",bittersweet,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",7.7,8.5,2009
The Terminator,movie,"sci-fi, action","destiny, time-travel, AI",intense,A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine from murdering Sarah Connor.,8.1,8.1,1984
Terminator 2: Judgment Day,movie,"sci-fi, action","protection, hope, technology","epic, thrilling","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son from an even more advanced model.",8.6,8.6,1991
Terminator 3: Rise of the Machines,movie,"sci-fi, action","fate, inevitability",explosive,A now-adult John Connor is targeted by a female cyborg assassin while another Terminator is sent back to protect him.,6.3,6.3,2003
Terminator Salvation,movie,"sci-fi, action","war, machines, leadership","gritty, industrial","In 2018, John Connor leads the resistance against Skynet while a mysterious stranger with memory loss joins the fight.",6.5,6.5,2009
Terminator Genisys,movie,"sci-fi, action","alternate-timeline, paradox",chaotic,"Kyle Reese is sent back to 1984 to save Sarah Connor, but the timeline has been altered, creating a new and dangerous future.",6.3,6.3,2015
Terminator: Dark Fate,movie,"sci-fi, action","legacy, survival, augmented-humans",serious,Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.,6.2,6.5,2019
Life is Beautiful,movie,"drama, war","hope, parenting, imagination","heartwarming, tragic",A Jewish librarian uses humor and imagination to shield his young son from the horrors of a Nazi concentration camp.,8.6,9,1997
Half Nelson,movie,drama,"addiction, mentorship, ethics","raw, wise",An inner-city middle-school teacher with a drug habit forms an unlikely friendship with a student who catches him using.,7.1,7.1,2006
I Am Sam,movie,drama,"parenting, disability, love",emotional,"A mentally handicapped man fights for custody of his daughter, teaching his high-priced lawyer about the true value of family.",7.6,7.9,2001
The Pianist,movie,"drama, history","survival, music, holocaust",powerful,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto during World War II.,8.5,9,2002
The Perks of Being a Wallflower,movie,"drama, romance","mental health, growth, friendship",poignant,An introverted freshman is taken under the wings of two seniors who welcome him to the real world and help him heal.,7.9,8,2012
Atonement,movie,"drama, romance","guilt, war, consequences","tragic, elegant","A young girl's false accusation changes the lives of her sister and her lover forever, leading to a decades-long search for forgiveness.",7.8,8,2007
Her,movie,"sci-fi, romance","AI, loneliness, intimacy","melancholic, smart","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",8,8,2013
Finding Neverland,movie,"drama, biography","imagination, legacy, grief",magical,The story of the friendship between author J.M. Barrie and the family that inspired him to create the world of Peter Pan.,7.7,7.7,2004
The Terminal,movie,"comedy, drama","bureaucracy, patience, hope",charming,An Eastern European tourist finds himself stranded in JFK airport when his country undergoes a coup and his passport becomes invalid.,7.4,7.5,2004
Oblivion,movie,"sci-fi, action","memory, drones, identity",atmospheric,A veteran assigned to extract Earth's remaining resources begins to question his mission and his past after rescuing a stranger.,7,7.5,2013
First Man,movie,"drama, history","space-race, grief, obsession","stoic, tense",A look at the life of the astronaut Neil Armstrong and the legendary space mission that led him to become the first man to walk on the moon.,7.3,7.3,2018
The Adam Project,movie,"sci-fi, adventure","time-travel, family, legacy","fun, nostalgic",A time-traveling pilot teams up with his younger self and his late father to come to terms with his past while saving the future.,6.7,7,2022
Free Guy,movie,"comedy, sci-fi","AI, self-awareness, gaming","vibrant, fun",A bank teller discovers he is actually a background player in an open-world video game and decides to become the hero of his own story.,7.1,7.4,2021
Life,movie,"sci-fi, horror","alien-biology, survival, isolation",terrifying,A team of scientists aboard the International Space Station discover a rapidly evolving life-form that caused extinction on Mars.,6.6,6.9,2017
Passengers,movie,"sci-fi, romance","morality, isolation, space-travel","glossy, tense","A spacecraft traveling to a distant colony planet has a malfunction in its sleep chambers, resulting in two passengers waking up 90 years early.",7,7.5,2016
Independence Day,movie,"sci-fi, action","alien-invasion, global-unity","epic, heroic","The world's satellite systems are thrown into chaos by a massive alien spacecraft, leading to a global struggle for survival on July 4th.",7,7.5,1996
Ad Astra,movie,"sci-fi, drama","father-son, solitude, space",meditative,An astronaut undertakes a dangerous mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition.,6.5,6.5,2019
Pacific Rim,movie,"sci-fi, action","giant-monsters, mecha, teamwork",spectacular,"As a war between humankind and monstrous sea creatures continues, a former pilot and a trainee are paired up to drive a legendary robot.",7,7.5,2013
Pacific Rim: Uprising,movie,"sci-fi, action","legacy, rebellion, kaiju",high-octane,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots against a new Kaiju threat.",5.6,6,2018
Predestination,movie,"sci-fi, thriller","time-paradox, identity, fate",mind-bending,A temporal agent embarks on a final time-traveling assignment to stop the one criminal that has eluded him throughout time.,7.4,8,2014
Avatar,movie,"sci-fi, fantasy","environmentalism, colonization",immersive,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting his new home.,7.9,7.9,2009
Avatar: The Way of Water,movie,"sci-fi, fantasy","family, ocean-life, protection",breathtaking,"Jake Sully lives with his newfound family on the planet of Pandora. When a familiar threat returns, Jake must work with Neytiri and the Na'vi army.",7.6,7.6,2022
Avatar: Fire and Ash,movie,"sci-fi, fantasy","revenge, fire-tribe, culture",intense,"The third installment explores a more aggressive side of the Na'vi—the ""Ash People""—led by Varang, testing Jake and Neytiri’s resilience.",7.5,7.5,2025
Snowpiercer,movie,"sci-fi, action","class-warfare, survival, climate","gritty, smart","In a future where a failed climate-change experiment kills all life on the planet, survivors inhabit a train that travels around the globe.",7.1,7.1,2013
Just Friends,movie,rom-com,"friend-zone, transformation",hilarious,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was ""just friends"" with.",6.2,6.6,2005
"Definitely, Maybe",movie,rom-com,"mystery, fatherhood, timing","charming, sweet",A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter by changing the names in his stories.,7.1,7.1,2008
Up in the Air,movie,"drama, comedy","detachment, career, connection",sophisticated,"Ryan Bingham enjoys living out of a suitcase for his job, but he begins to question his lifestyle after falling for a fellow traveler.",7.4,7.4,2009
Role Models,movie,comedy,"mentorship, maturity, LARPing","raunchy, fun",Two energy drink salesmen are forced to enroll in a big brother program for troubled youth after trashing a company truck.,6.8,7,2008
Admission,movie,"comedy, drama","secrets, motherhood, education",lighthearted,A Princeton admissions officer's life is upended when she visits an alternative high school and meets a student who might be the son she gave up.,5.7,6.5,2013
2012,movie,"action, sci-fi","apocalypse, survival, family",catastrophic,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind as predicted by the Mayans.,5.9,7.5,2009
Moonfall,movie,"sci-fi, action","conspiracy, space, apocalypse",chaotic,A mysterious force knocks the Moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,5.1,5.9,2022
This Is 40,movie,"comedy, drama","aging, marriage, parenting","raw, funny","A look at the lives of Pete and Debbie a few years after the events of Knocked Up, as they each handle their 40th birthdays.",6.2,6.6,2012
"I Love You, Man",movie,comedy,"bromance, friendship, marriage","awkward, sweet","A friendless guy goes on a series of ""man-dates"" to find a Best Man for his upcoming wedding, eventually meeting a charismatic stranger.",7,7,2009
She's Out of My League,movie,rom-com,"insecurity, status, attraction","goofy, fun","An average Joe is stunned when a gorgeous, successful woman falls for him, leading to a struggle with his own lack of confidence.",6.4,7,2010
Stuck in Love,movie,"drama, romance","family, writing, connection",heartfelt,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of a year.",7.2,7.5,2012
Accepted,movie,comedy,"rebellion, education, creativity",lighthearted,"Reeling from multiple college rejections, a high school senior creates a fake university that inadvertently becomes a real sanctuary for misfits.",6.4,6.9,2006
Harry Potter and the Sorcerer's Stone,movie,fantasy,"magic, belonging",whimsical,An orphan discovers he's a wizard and attends a magical school where he uncovers a dark secret about his past.,7.6,7.6,2001
Harry Potter and the Chamber of Secrets,movie,fantasy,"prejudice, mystery",atmospheric,"Harry returns for his second year to find a mysterious chamber has been opened, releasing a monster that petrifies students.",7.4,7.4,2002
Harry Potter and the Prisoner of Azkaban,movie,fantasy,"time, truth, family",dark,"Harry faces a convicted murderer who has escaped the wizard prison, leading to revelations about his parents' death.",7.9,7.9,2004
Harry Potter and the Goblet of Fire,movie,fantasy,"competition, return",intense,Harry is mysteriously entered into a dangerous tournament while the dark lord Voldemort begins his return to power.,7.7,7.7,2005
Harry Potter and the Order of the Phoenix,movie,fantasy,"rebellion, authority",tense,"With the wizarding world in denial about Voldemort's return, Harry forms a secret student group to prepare for war.",7.5,7.5,2007
Harry Potter and the Half-Blood Prince,movie,fantasy,"origins, sacrifice",melancholic,"As the wizarding world falls into darkness, Harry discovers an old textbook that helps him learn about Voldemort's past.",7.6,7.6,2009
Harry Potter and the Deathly Hallows: Part 1,movie,fantasy,"isolation, mission",somber,"Harry, Ron, and Hermione leave Hogwarts to track down and destroy the secret to Voldemort's immortality.",7.7,7.7,2010
Harry Potter and the Deathly Hallows: Part 2,movie,fantasy,"heroism, finality",epic,The final battle between the forces of good and evil breaks out at Hogwarts as Harry faces his destiny.,8.1,8.1,2011
Jurassic Park,movie,sci-fi,"genetics, ethics",spectacular,Scientists and visitors at a theme park featuring cloned dinosaurs must fight for survival after a power failure releases the beasts.,8.2,8.2,1993
The Lost World: Jurassic Park,movie,sci-fi,"protection, greed",dark,"A research team is sent to the ""Site B"" island to study the dinosaurs before a corporate team can capture them.",6.5,6.5,1997
Jurassic Park III,movie,sci-fi,"survival, rescue",tense,A couple convinces a paleontologist to guide them over a dinosaur-infested island to find their missing son.,5.9,5.9,2001
Jurassic World,movie,sci-fi,bio-engineering,exhilarating,"A new theme park, built on the original site, creates a genetically modified hybrid dinosaur that escapes and causes chaos.",6.9,7,2015
Jurassic World: Fallen Kingdom,movie,sci-fi,"conservation, greed",catastrophic,"After a volcanic eruption threatens the island, a rescue mission uncovers a conspiracy that brings dinosaurs to the mainland.",6.1,6.5,2018
